Interval=	0,01 s
ExcelDateTime=	4,2528612356187317e+004	07.06.2016 14:41:47,574584
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2
Range=	20,000 mV
10,62	-0,354
10,63	-0,463
10,64	-0,526
10,65	-0,598
10,66	-0,694
10,67	-0,781
10,68	-0,881
10,69	-1,040
10,7	-0,960
10,71	-0,691
10,72	-0,753
10,73	-1,076
10,74	-1,232
10,75	-1,079
10,76	-0,901
10,77	-0,914
10,78	-1,027
10,79	-1,114
10,8	-1,108
10,81	-1,004
10,82	-0,829
10,83	-0,724
10,84	-0,774
10,85	-0,855
10,86	-0,864
10,87	-0,831
10,88	-0,809
10,89	-0,784
10,9	-0,763
10,91	-0,763
10,92	-0,736
10,93	-0,667
10,94	-0,642
10,95	-0,700
10,96	-0,771
10,97	-0,782
10,98	-0,756
10,99	-0,709
11	-0,559
11,01	-0,292
11,02	0,007
11,03	0,329
11,04	0,729
11,05	1,174
11,06	1,564
11,07	1,804
11,08	1,815
11,09	1,623
11,1	1,357
11,11	1,088
11,12	0,791
11,13	0,432
11,14	0,047
11,15	-0,292
11,16	-0,564
11,17	-0,776
11,18	-0,927
11,19	-1,038
11,2	-1,129
11,21	-1,182
11,22	-1,185
11,23	-1,172
11,24	-1,189
11,25	-1,242
11,26	-1,283
11,27	-1,261
11,28	-1,180
11,29	-1,078
11,3	-1,001
11,31	-0,966
11,32	-0,921
11,33	-0,817
11,34	-0,666
11,35	-0,506
11,36	-0,379
11,37	-0,301
11,38	-0,241
11,39	-0,186
11,4	-0,174
11,41	-0,239
11,42	-0,371
11,43	-0,511
11,44	-0,613
11,45	-0,676
11,46	-0,723
11,47	-0,778
11,48	-0,854
11,49	-0,930
11,5	-0,966
11,51	-0,963
11,52	-0,969
11,53	-1,016
11,54	-1,082
11,55	-1,091
11,56	-1,019
11,57	-0,948
11,58	-0,960
11,59	-1,013
11,6	-1,011
11,61	-0,974
11,62	-0,949
11,63	-0,914
11,64	-0,861
11,65	-0,839
11,66	-0,861
11,67	-0,874
11,68	-0,834
11,69	-0,760
11,7	-0,700
11,71	-0,686
11,72	-0,697
11,73	-0,715
11,74	-0,758
11,75	-0,784
11,76	-0,758
11,77	-0,708
11,78	-0,683
11,79	-0,697
11,8	-0,709
11,81	-0,644
11,82	-0,466
11,83	-0,186
11,84	0,158
11,85	0,532
11,86	0,909
11,87	1,262
11,88	1,558
11,89	1,708
11,9	1,663
11,91	1,489
11,92	1,246
11,93	0,938
11,94	0,566
11,95	0,150
11,96	-0,244
11,97	-0,571
11,98	-0,816
11,99	-0,951
12	-1,001
12,01	-1,044
12,02	-1,107
12,03	-1,170
12,04	-1,219
12,05	-1,242
12,06	-1,279
12,07	-1,266
12,08	-1,270
12,09	-1,359
12,1	-1,320
12,11	-1,091
12,12	-0,909
12,13	-1,004
12,14	-1,102
12,15	-0,620
12,16	0,204
12,17	0,312
12,18	-0,417
12,19	-1,006
12,2	-0,939
12,21	-0,539
12,22	-0,292
12,23	-0,221
12,24	-0,143
12,25	-0,171
12,26	-0,435
12,27	-0,756
12,28	-0,922
12,29	-0,978
12,3	-1,036
12,31	-1,009
12,32	-0,876
12,33	-0,865
12,34	-1,018
12,35	-1,102
12,36	-1,057
12,37	-1,018
12,38	-1,010
12,39	-0,961
12,4	-0,911
12,41	-0,947
12,42	-0,996
12,43	-0,949
12,44	-0,865
12,45	-0,863
12,46	-0,927
12,47	-0,946
12,48	-0,896
12,49	-0,840
12,5	-0,824
12,51	-0,822
12,52	-0,810
12,53	-0,807
12,54	-0,801
12,55	-0,766
12,56	-0,735
12,57	-0,713
12,58	-0,610
12,59	-0,353
12,6	0,011
12,61	0,399
12,62	0,786
12,63	1,151
12,64	1,434
12,65	1,579
12,66	1,551
12,67	1,367
12,68	1,078
12,69	0,745
12,7	0,425
12,71	0,119
12,72	-0,206
12,73	-0,555
12,74	-0,868
12,75	-1,058
12,76	-1,122
12,77	-1,142
12,78	-1,204
12,79	-1,298
12,8	-1,359
12,81	-1,393
12,82	-1,422
12,83	-1,429
12,84	-1,390
12,85	-1,318
12,86	-1,267
12,87	-1,233
12,88	-1,139
12,89	-0,977
12,9	-0,811
12,91	-0,664
12,92	-0,536
12,93	-0,426
12,94	-0,309
12,95	-0,170
12,96	-0,071
12,97	-0,082
12,98	-0,174
12,99	-0,293
13	-0,417
13,01	-0,527
13,02	-0,623
13,03	-0,708
13,04	-0,794
13,05	-0,871
13,06	-0,923
13,07	-0,958
13,08	-0,984
13,09	-1,003
13,1	-1,030
