Interval=	0,01 s
ExcelDateTime=	4,1795674607928238e+004	05.06.2014 16:11:26,125
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
8,86	4,327
8,87	4,428
8,88	4,521
8,89	4,606
8,9	4,682
8,91	4,751
8,92	4,813
8,93	4,865
8,94	4,909
8,95	4,942
8,96	4,968
8,97	4,982
8,98	4,985
8,99	4,977
9,0	4,958
9,01	4,933
9,02	4,904
9,03	4,874
9,04	4,843
9,05	4,813
9,06	4,782
9,07	4,752
9,08	4,722
9,09	4,690
9,1	4,656
9,11	4,619
9,12	4,581
9,13	4,539
9,14	4,496
9,15	4,448
9,16	4,399
9,17	4,346
9,18	4,275
9,19	4,171
9,2	4,048
9,21	3,904
9,22	3,734
9,23	3,545
9,24	3,347
9,25	3,143
9,26	2,932
9,27	2,722
9,28	2,516
9,29	2,318
9,3	2,129
9,31	1,952
9,32	1,781
9,33	1,619
9,34	1,462
9,35	1,310
9,36	1,162
9,37	1,020
9,38	0,886
9,39	0,758
9,4	0,636
9,41	0,519
9,42	0,404
9,43	0,294
9,44	0,186
9,45	0,077
9,46	-0,033
9,47	-0,132
9,48	-0,223
9,49	-0,311
9,5	-0,394
9,51	-0,472
9,52	-0,547
9,53	-0,622
9,54	-0,696
9,55	-0,770
9,56	-0,842
9,57	-0,912
9,58	-0,980
9,59	-1,048
9,6	-1,116
9,61	-1,186
9,62	-1,259
9,63	-1,334
9,64	-1,409
9,65	-1,486
9,66	-1,564
9,67	-1,643
9,68	-1,721
9,69	-1,798
9,7	-1,873
9,71	-1,943
9,72	-2,010
9,73	-2,075
9,74	-2,136
9,75	-2,193
9,76	-2,246
9,77	-2,293
9,78	-2,336
9,79	-2,381
9,8	-2,424
9,81	-2,466
9,82	-2,506
9,83	-2,544
9,84	-2,582
9,85	-2,619
9,86	-2,654
9,87	-2,689
9,88	-2,723
9,89	-2,753
9,9	-2,777
9,91	-2,789
9,92	-2,788
9,93	-2,776
9,94	-2,761
9,95	-2,744
9,96	-2,716
9,97	-2,688
9,98	-2,666
9,99	-2,641
10,0	-2,617
10,01	-2,591
10,02	-2,543
10,03	-2,471
10,04	-2,384
10,05	-2,281
10,06	-2,149
10,07	-1,986
10,08	-1,808
10,09	-1,625
10,1	-1,447
10,11	-1,273
10,12	-1,094
10,13	-0,910
10,14	-0,723
10,15	-0,534
10,16	-0,348
10,17	-0,166
10,18	0,015
10,19	0,193
10,2	0,367
10,21	0,538
10,22	0,709
10,23	0,875
10,24	1,033
10,25	1,186
10,26	1,333
10,27	1,476
10,28	1,616
10,29	1,759
10,3	1,898
10,31	2,030
10,32	2,156
10,33	2,279
10,34	2,408
10,35	2,538
10,36	2,664
10,37	2,785
10,38	2,899
10,39	3,005
10,4	3,107
10,41	3,206
10,42	3,301
10,43	3,389
10,44	3,474
10,45	3,556
10,46	3,631
10,47	3,697
10,48	3,754
10,49	3,804
10,5	3,843
10,51	3,869
10,52	3,884
10,53	3,889
10,54	3,883
10,55	3,870
10,56	3,853
10,57	3,835
10,58	3,816
10,59	3,793
10,6	3,769
10,61	3,744
10,62	3,718
10,63	3,689
10,64	3,660
10,65	3,627
10,66	3,589
10,67	3,549
10,68	3,506
10,69	3,452
10,7	3,374
10,71	3,259
10,72	3,103
10,73	2,916
10,74	2,713
10,75	2,502
10,76	2,298
10,77	2,111
10,78	1,937
10,79	1,771
10,8	1,613
10,81	1,461
10,82	1,317
10,83	1,180
10,84	1,051
10,85	0,924
10,86	0,798
10,87	0,672
10,88	0,544
10,89	0,415
10,9	0,284
10,91	0,151
10,92	0,022
10,93	-0,104
10,94	-0,226
10,95	-0,343
10,96	-0,453
10,97	-0,556
10,98	-0,652
10,99	-0,745
11,0	-0,833
11,01	-0,915
11,02	-0,993
11,03	-1,064
11,04	-1,129
11,05	-1,195
11,06	-1,263
11,07	-1,329
11,08	-1,398
11,09	-1,469
11,1	-1,541
11,11	-1,613
11,12	-1,685
11,13	-1,755
11,14	-1,822
11,15	-1,888
11,16	-1,950
11,17	-2,009
11,18	-2,062
11,19	-2,111
11,2	-2,158
11,21	-2,201
11,22	-2,242
11,23	-2,281
11,24	-2,318
11,25	-2,351
11,26	-2,381
11,27	-2,409
11,28	-2,437
11,29	-2,466
11,3	-2,496
11,31	-2,526
11,32	-2,556
11,33	-2,584
11,34	-2,607
11,35	-2,628
11,36	-2,646
11,37	-2,661
11,38	-2,671
11,39	-2,672
11,4	-2,666
11,41	-2,653
11,42	-2,639
11,43	-2,620
11,44	-2,596
11,45	-2,575
11,46	-2,554
11,47	-2,531
11,48	-2,506
11,49	-2,468
11,5	-2,413
11,51	-2,334
11,52	-2,226
11,53	-2,082
11,54	-1,898
11,55	-1,686
11,56	-1,466
11,57	-1,247
11,58	-1,037
11,59	-0,844
11,6	-0,666
11,61	-0,494
11,62	-0,324
11,63	-0,154
11,64	0,021
11,65	0,201
11,66	0,380
11,67	0,554
11,68	0,720
11,69	0,883
11,7	1,046
11,71	1,208
11,72	1,371
11,73	1,537
11,74	1,697
11,75	1,851
11,76	2,001
11,77	2,144
11,78	2,281
11,79	2,413
11,8	2,541
11,81	2,664
11,82	2,786
11,83	2,904
11,84	3,015
11,85	3,117
11,86	3,216
11,87	3,311
11,88	3,399
11,89	3,484
11,9	3,567
11,91	3,650
11,92	3,734
11,93	3,816
11,94	3,897
11,95	3,975
11,96	4,046
11,97	4,111
11,98	4,175
11,99	4,238
12,0	4,297
12,01	4,349
12,02	4,401
12,03	4,452
12,04	4,503
12,05	4,549
12,06	4,592
12,07	4,629
12,08	4,659
12,09	4,681
12,1	4,694
12,11	4,699
12,12	4,695
12,13	4,683
12,14	4,661
12,15	4,633
12,16	4,598
12,17	4,558
12,18	4,511
12,19	4,457
12,2	4,399
12,21	4,339
12,22	4,273
12,23	4,185
12,24	4,069
12,25	3,927
12,26	3,758
12,27	3,569
12,28	3,374
12,29	3,175
12,3	2,976
12,31	2,774
12,32	2,569
12,33	2,378
12,34	2,208
12,35	2,049
12,36	1,897
12,37	1,745
12,38	1,590
12,39	1,434
12,4	1,282
12,41	1,131
12,42	0,980
12,43	0,826
12,44	0,672
12,45	0,519
12,46	0,366
12,47	0,211
12,48	0,054
12,49	-0,098
12,5	-0,242
12,51	-0,376
12,52	-0,501
12,53	-0,621
12,54	-0,734
12,55	-0,843
12,56	-0,945
12,57	-1,040
12,58	-1,127
12,59	-1,213
12,6	-1,290
12,61	-1,359
12,62	-1,430
12,63	-1,503
12,64	-1,574
12,65	-1,646
12,66	-1,716
12,67	-1,786
12,68	-1,854
12,69	-1,921
12,7	-1,986
12,71	-2,049
12,72	-2,111
12,73	-2,171
12,74	-2,230
12,75	-2,286
12,76	-2,337
12,77	-2,387
12,78	-2,433
12,79	-2,478
12,8	-2,519
12,81	-2,556
12,82	-2,589
12,83	-2,619
12,84	-2,645
12,85	-2,668
12,86	-2,685
12,87	-2,697
12,88	-2,703
12,89	-2,703
12,9	-2,694
12,91	-2,681
12,92	-2,660
12,93	-2,637
12,94	-2,615
12,95	-2,591
12,96	-2,567
12,97	-2,542
12,98	-2,510
12,99	-2,466
13,0	-2,398
13,01	-2,297
13,02	-2,165
13,03	-1,998
13,04	-1,799
13,05	-1,595
13,06	-1,402
13,07	-1,219
13,08	-1,043
13,09	-0,871
13,1	-0,698
13,11	-0,524
13,12	-0,356
13,13	-0,196
13,14	-0,046
13,15	0,098
13,16	0,238
13,17	0,375
13,18	0,508
13,19	0,630
13,2	0,740
13,21	0,841
13,22	0,941
13,23	1,040
13,24	1,135
13,25	1,225
13,26	1,312
13,27	1,399
13,28	1,486
13,29	1,566
13,3	1,640
13,31	1,713
13,32	1,786
13,33	1,863
13,34	1,941
13,35	2,021
13,36	2,098
13,37	2,171
13,38	2,244
13,39	2,315
13,4	2,387
13,41	2,465
13,42	2,551
13,43	2,636
13,44	2,718
13,45	2,800
13,46	2,878
13,47	2,949
13,48	3,019
13,49	3,087
13,5	3,156
13,51	3,223
13,52	3,286
13,53	3,344
13,54	3,398
13,55	3,449
13,56	3,498
13,57	3,544
13,58	3,587
13,59	3,623
13,6	3,652
13,61	3,674
13,62	3,689
13,63	3,699
13,64	3,704
13,65	3,708
13,66	3,709
13,67	3,705
13,68	3,694
13,69	3,674
13,7	3,649
13,71	3,620
13,72	3,589
13,73	3,559
13,74	3,533
13,75	3,505
13,76	3,473
13,77	3,438
13,78	3,402
13,79	3,366
13,8	3,321
13,81	3,260
13,82	3,183
13,83	3,093
13,84	2,988
13,85	2,862
13,86	2,718
13,87	2,559
13,88	2,389
13,89	2,208
13,9	2,019
13,91	1,839
13,92	1,672
13,93	1,514
13,94	1,361
13,95	1,213
13,96	1,067
13,97	0,921
13,98	0,778
13,99	0,638
14,0	0,500
14,01	0,362
14,02	0,223
14,03	0,084
14,04	-0,055
14,05	-0,194
14,06	-0,333
14,07	-0,469
14,08	-0,601
14,09	-0,728
14,1	-0,850
14,11	-0,968
14,12	-1,084
14,13	-1,198
14,14	-1,308
14,15	-1,418
14,16	-1,522
14,17	-1,622
14,18	-1,718
14,19	-1,805
14,2	-1,884
14,21	-1,965
14,22	-2,046
14,23	-2,126
14,24	-2,205
14,25	-2,283
14,26	-2,358
14,27	-2,431
14,28	-2,498
14,29	-2,561
14,3	-2,620
14,31	-2,674
14,32	-2,723
14,33	-2,765
14,34	-2,799
14,35	-2,823
14,36	-2,835
14,37	-2,835
14,38	-2,823
14,39	-2,808
14,4	-2,791
14,41	-2,775
14,42	-2,756
14,43	-2,734
14,44	-2,710
14,45	-2,688
14,46	-2,666
14,47	-2,639
14,48	-2,602
14,49	-2,543
14,5	-2,458
14,51	-2,350
14,52	-2,216
14,53	-2,053
14,54	-1,873
14,55	-1,687
14,56	-1,492
14,57	-1,285
14,58	-1,066
14,59	-0,846
14,6	-0,628
14,61	-0,414
14,62	-0,210
14,63	-0,015
14,64	0,176
14,65	0,365
14,66	0,549
14,67	0,729
14,68	0,903
14,69	1,068
14,7	1,219
14,71	1,359
14,72	1,494
14,73	1,630
14,74	1,762
14,75	1,886
14,76	2,005
14,77	2,116
14,78	2,218
14,79	2,315
14,8	2,408
14,81	2,498
14,82	2,581
14,83	2,664
14,84	2,750
14,85	2,835
14,86	2,918
14,87	2,999
14,88	3,078
14,89	3,156
14,9	3,231
14,91	3,303
14,92	3,372
14,93	3,439
14,94	3,503
14,95	3,564
14,96	3,618
14,97	3,665
14,98	3,714
14,99	3,762
15,0	3,803
15,01	3,843
15,02	3,883
15,03	3,914
15,04	3,939
15,05	3,960
15,06	3,976
15,07	3,988
15,08	3,993
15,09	3,991
15,1	3,982
15,11	3,968
15,12	3,947
15,13	3,919
15,14	3,888
15,15	3,853
15,16	3,813
15,17	3,769
15,18	3,721
15,19	3,673
15,2	3,621
15,21	3,556
15,22	3,466
15,23	3,352
15,24	3,210
15,25	3,043
15,26	2,859
15,27	2,666
15,28	2,473
15,29	2,287
15,3	2,108
15,31	1,940
15,32	1,786
15,33	1,646
15,34	1,513
15,35	1,384
15,36	1,253
15,37	1,119
15,38	0,984
15,39	0,846
15,4	0,708
15,41	0,572
15,42	0,438
15,43	0,304
15,44	0,173
15,45	0,037
15,46	-0,098
15,47	-0,218
15,48	-0,329
15,49	-0,436
15,5	-0,546
15,51	-0,665
15,52	-0,788
15,53	-0,911
15,54	-1,031
15,55	-1,146
15,56	-1,262
15,57	-1,379
15,58	-1,496
15,59	-1,614
15,6	-1,731
15,61	-1,846
15,62	-1,958
15,63	-2,064
15,64	-2,161
15,65	-2,251
15,66	-2,334
15,67	-2,411
15,68	-2,484
15,69	-2,552
15,7	-2,614
15,71	-2,674
15,72	-2,732
15,73	-2,787
15,74	-2,839
15,75	-2,888
15,76	-2,930
15,77	-2,972
15,78	-3,014
15,79	-3,053
15,8	-3,087
15,81	-3,115
15,82	-3,136
15,83	-3,152
15,84	-3,164
15,85	-3,170
15,86	-3,170
15,87	-3,166
15,88	-3,159
15,89	-3,148
15,9	-3,134
15,91	-3,121
15,92	-3,106
15,93	-3,089
15,94	-3,071
15,95	-3,054
15,96	-3,033
15,97	-3,013
15,98	-2,996
15,99	-2,980
16,0	-2,965
16,01	-2,950
16,02	-2,933
16,03	-2,914
16,04	-2,896
16,05	-2,881
16,06	-2,864
16,07	-2,843
16,08	-2,818
16,09	-2,789
