Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
9,28	-3,343
9,29	-3,332
9,3	-3,322
9,31	-3,311
9,32	-3,299
9,33	-3,288
9,34	-3,274
9,35	-3,259
9,36	-3,245
9,37	-3,230
9,38	-3,215
9,39	-3,200
9,4	-3,185
9,41	-3,170
9,42	-3,154
9,43	-3,138
9,44	-3,119
9,45	-3,102
9,46	-3,086
9,47	-3,072
9,48	-3,057
9,49	-3,039
9,5	-3,016
9,51	-2,996
9,52	-2,980
9,53	-2,964
9,54	-2,953
9,55	-2,942
9,56	-2,926
9,57	-2,908
9,58	-2,886
9,59	-2,866
9,6	-2,849
9,61	-2,839
9,62	-2,834
9,63	-2,832
9,64	-2,834
9,65	-2,841
9,66	-2,851
9,67	-2,864
9,68	-2,876
9,69	-2,888
9,7	-2,897
9,71	-2,904
9,72	-2,909
9,73	-2,911
9,74	-2,911
9,75	-2,908
9,76	-2,903
9,77	-2,897
9,78	-2,891
9,79	-2,886
9,8	-2,880
9,81	-2,872
9,82	-2,865
9,83	-2,859
9,84	-2,848
9,85	-2,837
9,86	-2,828
9,87	-2,817
9,88	-2,806
9,89	-2,794
9,9	-2,782
9,91	-2,768
9,92	-2,756
9,93	-2,743
9,94	-2,731
9,95	-2,718
9,96	-2,706
9,97	-2,694
9,98	-2,681
9,99	-2,667
10,0	-2,652
10,01	-2,638
10,02	-2,622
10,03	-2,606
10,04	-2,591
10,05	-2,576
10,06	-2,561
10,07	-2,547
10,08	-2,534
10,09	-2,521
10,1	-2,507
10,11	-2,494
10,12	-2,481
10,13	-2,468
10,14	-2,454
10,15	-2,442
10,16	-2,429
10,17	-2,417
10,18	-2,405
10,19	-2,394
10,2	-2,381
10,21	-2,369
10,22	-2,358
10,23	-2,348
10,24	-2,337
10,25	-2,326
10,26	-2,314
10,27	-2,304
10,28	-2,293
10,29	-2,283
10,3	-2,271
10,31	-2,259
10,32	-2,248
10,33	-2,236
10,34	-2,224
10,35	-2,213
10,36	-2,203
10,37	-2,192
10,38	-2,181
10,39	-2,167
10,4	-2,152
10,41	-2,135
10,42	-2,112
10,43	-2,084
10,44	-2,052
10,45	-2,016
10,46	-1,979
10,47	-1,941
10,48	-1,898
10,49	-1,849
10,5	-1,798
10,51	-1,743
10,52	-1,679
10,53	-1,609
10,54	-1,534
10,55	-1,459
10,56	-1,385
10,57	-1,313
10,58	-1,238
10,59	-1,160
10,6	-1,080
10,61	-1,001
10,62	-0,922
10,63	-0,843
10,64	-0,764
10,65	-0,682
10,66	-0,599
10,67	-0,514
10,68	-0,426
10,69	-0,333
10,7	-0,237
10,71	-0,137
10,72	-0,034
10,73	0,071
10,74	0,180
10,75	0,289
10,76	0,399
10,77	0,510
10,78	0,623
10,79	0,738
10,8	0,849
10,81	0,962
10,82	1,078
10,83	1,193
10,84	1,306
10,85	1,423
10,86	1,542
10,87	1,661
10,88	1,779
10,89	1,899
10,9	2,020
10,91	2,143
10,92	2,272
10,93	2,403
10,94	2,531
10,95	2,656
10,96	2,777
10,97	2,896
10,98	3,013
10,99	3,124
11,0	3,232
11,01	3,337
11,02	3,438
11,03	3,532
11,04	3,621
11,05	3,708
11,06	3,794
11,07	3,880
11,08	3,968
11,09	4,056
11,1	4,141
11,11	4,224
11,12	4,304
11,13	4,381
11,14	4,454
11,15	4,524
11,16	4,594
11,17	4,663
11,18	4,728
11,19	4,793
11,2	4,859
